symbol,name,exchange,type
RF-PE,Regions Financial Corporation,New York Stock Exchange,stock
AGYS,Agilysys  Inc.,NASDAQ Global Select,stock
ALL-PB,The Allstate Corporation,New York Stock Exchange,stock
ARM,Arm Holdings plc American Depositary Shares,NASDAQ,stock
CLYM,Climb Bio  Inc.,NASDAQ Global Market,stock
SKE,Skeena Resources Limited,New York Stock Exchange,stock
WTS,Watts Water Technologies  Inc.,New York Stock Exchange,stock
AMBC,Ambac Financial Group  Inc.,New York Stock Exchange,stock
CRWD,CrowdStrike Holdings  Inc.,NASDAQ Global Select,stock
CODI-PB,Compass Diversified,New York Stock Exchange,stock
CTCX,Carmell Therapeutics Corporation,NASDAQ Capital Market,stock
ALHC,Alignment Healthcare  Inc.,NASDAQ Global Select,stock
BDN,Brandywine Realty Trust,New York Stock Exchange,stock
ADI,Analog Devices  Inc.,NASDAQ Global Select,stock
ANET,Arista Networks  Inc.,New York Stock Exchange,stock
NCMI,National CineMedia  Inc.,NASDAQ Global Select,stock
ARDC,Ares Dynamic Credit Allocation Fund  Inc.,New York Stock Exchange,stock
WIX,Wix.com Ltd.,NASDAQ Global Select,stock
MOG-A,Moog Inc.,New York Stock Exchange,stock
FNB,F.N.B. Corporation,New York Stock Exchange,stock
ARKO,Arko Corp.,NASDAQ Capital Market,stock
ATAT,Atour Lifestyle Holdings Limited,NASDAQ Global Select,stock
KRMN,Karman Holdings Inc.,New York Stock Exchange,stock
NCDL,Nuveen Churchill Direct Lending Corp.,New York Stock Exchange,stock
DEC,Diversified Energy Company PLC,New York Stock Exchange,stock
PEB,Pebblebrook Hotel Trust,New York Stock Exchange,stock
DNLI,Denali Therapeutics Inc.,NASDAQ Global Select,stock
DUK,Duke Energy Corporation,New York Stock Exchange,stock
SCS,Steelcase Inc.,New York Stock Exchange,stock
EGBN,Eagle Bancorp  Inc.,NASDAQ Capital Market,stock
SEE,Sealed Air Corporation,New York Stock Exchange,stock
SG,Sweetgreen  Inc.,New York Stock Exchange,stock
SHO,Sunstone Hotel Investors  Inc.,New York Stock Exchange,stock
SILA,Sila Realty Trust  Inc.,New York Stock Exchange,stock
RDN,Radian Group Inc.,New York Stock Exchange,stock
ULS,UL Solutions Inc.,New York Stock Exchange,stock
GIL,Gildan Activewear Inc.,New York Stock Exchange,stock
GNW,Genworth Financial  Inc.,New York Stock Exchange,stock
HDB,HDFC Bank Limited,New York Stock Exchange,stock
MATV,Mativ Holdings  Inc.,New York Stock Exchange,stock
PLSE,Pulse Biosciences  Inc.,NASDAQ Capital Market,stock
PACK,Ranpak Holdings Corp.,New York Stock Exchange,stock
YRD,Yiren Digital Ltd.,New York Stock Exchange,stock
SYF-PB,Synchrony Financial,New York Stock Exchange,stock
BXC,BlueLinx Holdings Inc.,New York Stock Exchange,stock
ESEA,Euroseas Ltd.,NASDAQ Capital Market,stock
HOV,Hovnanian Enterprises  Inc.,New York Stock Exchange,stock
HUM,Humana Inc.,New York Stock Exchange,stock
FSLR,First Solar  Inc.,NASDAQ Global Select,stock
NRDY,Nerdy  Inc.,New York Stock Exchange,stock
BRDG,Bridge Investment Group Holdings Inc.,New York Stock Exchange,stock
CVGI,Commercial Vehicle Group  Inc.,NASDAQ Global Select,stock
CSR,Centerspace,New York Stock Exchange,stock
NDLS,Noodles & Company,NASDAQ Global Select,stock
TGI,Triumph Group  Inc.,New York Stock Exchange,stock
NEXA,Nexa Resources S.A.,New York Stock Exchange,stock
DOMO,Domo  Inc.,NASDAQ Global Market,stock
EEFT,Euronet Worldwide  Inc.,NASDAQ Global Select,stock
TNFA,TNF Pharmaceuticals  Inc.,NASDAQ Global Market,stock
FWONA,Formula One Group,NASDAQ Global Select,stock
JD,JD.com  Inc.,NASDAQ Global Select,stock
PANW,Palo Alto Networks  Inc.,NASDAQ Global Select,stock
WEYS,Weyco Group  Inc.,NASDAQ Global Select,stock
GABC,German American Bancorp  Inc.,NASDAQ Global Select,stock
LFVN,LifeVantage Corporation,NASDAQ Capital Market,stock
CPIX,Cumberland Pharmaceuticals Inc.,NASDAQ Global Select,stock
BWIN,The Baldwin Insurance Group  Inc.,NASDAQ Global Market,stock
FRSH,Freshworks Inc.,NASDAQ Global Select,stock
NTIC,Northern Technologies International Corporation,NASDAQ Global Market,stock
THRY,Thryv Holdings  Inc.,NASDAQ Capital Market,stock
CECO,CECO Environmental Corp.,NASDAQ Global Select,stock
DGICA,Donegal Group Inc.,NASDAQ Global Select,stock
BHRB,Burke & Herbert Bank & Trust Company,NASDAQ Capital Market,stock
DAVE,Dave Inc.,NASDAQ Global Market,stock
LGVN,Longeveron Inc.,NASDAQ Capital Market,stock
ETSY,Etsy  Inc.,NASDAQ Global Select,stock
STTK,Shattuck Labs  Inc.,NASDAQ Global Select,stock
RRGB,Red Robin Gourmet Burgers  Inc.,NASDAQ Global Select,stock
PRTA,Prothena Corporation plc,NASDAQ Global Select,stock
TDS,Telephone and Data Systems  Inc.,New York Stock Exchange,stock
PBYI,Puma Biotechnology  Inc.,NASDAQ Global Select,stock
FEIM,Frequency Electronics  Inc.,NASDAQ Global Market,stock
HNVR,Hanover Bancorp  Inc.,NASDAQ Global Select,stock
KINS,Kingstone Companies  Inc.,NASDAQ Capital Market,stock
NIXX,Nixxy  Inc.,NASDAQ Capital Market,stock
MLKN,MillerKnoll  Inc.,NASDAQ Global Select,stock
QUIK,QuickLogic Corporation,NASDAQ Capital Market,stock
HOOK,HOOKIPA Pharma Inc.,NASDAQ Global Select,stock
MASI,Masimo Corporation,NASDAQ Global Select,stock
BSET,Bassett Furniture Industries  Incorporated,NASDAQ Global Select,stock
NEO,NeoGenomics  Inc.,NASDAQ Capital Market,stock
CASH,Pathward Financial  Inc.,NASDAQ Global Select,stock
LANC,Lancaster Colony Corporation,NASDAQ Global Select,stock
NEOG,Neogen Corporation,NASDAQ Global Select,stock
PAMT,Pamt Corp.,NASDAQ Global Market,stock
PENN,PENN Entertainment  Inc.,NASDAQ Global Select,stock
SYRS,Syros Pharmaceuticals  Inc.,NASDAQ Global Select,stock
TWST,Twist Bioscience Corporation,NASDAQ Global Select,stock
USEG,U.S. Energy Corp.,NASDAQ Capital Market,stock
LFST,LifeStance Health Group  Inc.,NASDAQ Global Select,stock
NNE,Nano Nuclear Energy Inc,NASDAQ Global Select,stock
RYAAY,Ryanair Holdings plc,NASDAQ Global Select,stock
VSTM,Verastem  Inc.,NASDAQ Global Market,stock
PLAY,Dave & Buster's Entertainment  Inc.,NASDAQ Global Select,stock
XXII,22nd Century Group  Inc.,NASDAQ Capital Market,stock
ABEO,Abeona Therapeutics Inc.,NASDAQ Capital Market,stock
LITE,Lumentum Holdings Inc.,NASDAQ Global Select,stock
COYA,Coya Therapeutics  Inc.,NASDAQ Capital Market,stock
HONE,HarborOne Bancorp  Inc.,NASDAQ Global Select,stock
SUNS,Sunrise Realty Trust  Inc.,NASDAQ Capital Market,stock
INFN,Infinera Corporation,NASDAQ Global Select,stock
PDEX,Pro-Dex  Inc.,NASDAQ Capital Market,stock
TCBIO,Texas Capital Bancshares  Inc.,NASDAQ Global Select,stock
PLBC,Plumas Bancorp,NASDAQ Capital Market,stock
TROW,T. Rowe Price Group  Inc.,NASDAQ Global Select,stock
XAIR,Beyond Air  Inc.,NASDAQ Capital Market,stock
RRR,Red Rock Resorts  Inc.,NASDAQ Global Select,stock
TCI,Transcontinental Realty Investors  Inc.,New York Stock Exchange,stock
SLS,SELLAS Life Sciences Group  Inc.,NASDAQ Capital Market,stock
WMG,Warner Music Group Corp.,NASDAQ Global Select,stock
MGRX,Mangoceuticals  Inc.,NASDAQ Capital Market,stock
APLT,Applied Therapeutics  Inc.,NASDAQ Global Market,stock
VRAR,The Glimpse Group  Inc.,NASDAQ Capital Market,stock
VREX,Varex Imaging Corporation,NASDAQ Global Select,stock
MFH,Mercurity Fintech Holding Inc.,NASDAQ Capital Market,stock
TECH,Bio-Techne Corporation,NASDAQ Global Select,stock
GDRX,GoodRx Holdings  Inc.,NASDAQ Global Select,stock
SMPL,The Simply Good Foods Company,NASDAQ Capital Market,stock
SDIG,Stronghold Digital Mining  Inc.,NASDAQ Global Market,stock
VMI,Valmont Industries  Inc.,New York Stock Exchange,stock
LNKS,Linkers Industries Limited,NASDAQ Global Select,stock
SPTN,SpartanNash Company,NASDAQ Global Select,stock
BYRN,Byrna Technologies Inc.,NASDAQ Capital Market,stock
BMRN,BioMarin Pharmaceutical Inc.,NASDAQ Global Select,stock
BKYI,BIO-key International  Inc.,NASDAQ Capital Market,stock
KC,Kingsoft Cloud Holdings Limited,NASDAQ Global Select,stock
URBN,Urban Outfitters  Inc.,NASDAQ Global Select,stock
FSBW,FS Bancorp  Inc.,NASDAQ Capital Market,stock
CSWC,Capital Southwest Corporation,NASDAQ Global Select,stock
INTZ,Intrusion Inc.,NASDAQ Capital Market,stock
QTTB,Q32 Bio Inc.,NASDAQ Global Market,stock
UFCS,United Fire Group  Inc.,NASDAQ Global Select,stock
CYCN,Cyclerion Therapeutics  Inc.,NASDAQ Global Select,stock
FLGT,Fulgent Genetics  Inc.,NASDAQ Global Market,stock
BAER,Bridger Aerospace Group Holdings  Inc. Common Stock,NASDAQ Global Market,stock
EGAN,eGain Corporation,NASDAQ Capital Market,stock
GNTX,Gentex Corporation,NASDAQ Global Select,stock
PWOD,Penns Woods Bancorp  Inc.,NASDAQ Global Select,stock
HROW,Harrow Health  Inc.,NASDAQ Global Market,stock
FFIV,F5  Inc.,NASDAQ Global Select,stock
OPCH,Option Care Health  Inc.,NASDAQ Global Select,stock
UAL,United Airlines Holdings  Inc.,NASDAQ Global Select,stock
NVEC,NVE Corporation,NASDAQ Capital Market,stock
IINN,Inspira Technologies Oxy B.H.N. Ltd.,NASDAQ Capital Market,stock
FOX,Fox Corporation,NASDAQ Global Select,stock
FOXX,Foxx Development Holdings Inc.,NASDAQ Capital Market,stock
NVAX,Novavax  Inc.,NASDAQ Global Select,stock
ELTX,Elicio Therapeutics  Inc.,NASDAQ Global Market,stock
TLSI,TriSalus Life Sciences  Inc.,NASDAQ Global Market,stock
SWIN,Solowin Holdings Ordinary Share,NASDAQ,stock
PRAX,Praxis Precision Medicines  Inc.,NASDAQ Global Select,stock
SINT,Sintx Technologies  Inc.,NASDAQ Capital Market,stock
GFAI,Guardforce AI Co.  Limited,NASDAQ Capital Market,stock
OPK,OPKO Health  Inc.,NASDAQ Global Select,stock
CSX,CSX Corporation,NASDAQ Global Select,stock
PGEN,Precigen  Inc.,NASDAQ Global Select,stock
HMST,HomeStreet  Inc.,NASDAQ Global Select,stock
PEP,PepsiCo  Inc.,NASDAQ Global Select,stock
HAIN,The Hain Celestial Group  Inc.,NASDAQ Global Select,stock
NWPX,Northwest Pipe Company,NASDAQ Global Select,stock
GAIN,Gladstone Investment Corporation,NASDAQ Global Select,stock
LPTH,LightPath Technologies  Inc.,NASDAQ Capital Market,stock
KLTO,Klotho Neuroscience Inc.,NASDAQ Global Market,stock
DLTR,Dollar Tree  Inc.,NASDAQ Global Select,stock
TACT,TransAct Technologies Incorporated,NASDAQ Global Market,stock
TXG,10x Genomics  Inc.,NASDAQ Global Select,stock
SBRA,Sabra Health Care REIT  Inc.,NASDAQ Global Select,stock
FIVE,Five Below  Inc.,NASDAQ Global Select,stock
ADTX,Aditxt  Inc.,NASDAQ Capital Market,stock
NRXP,NRx Pharmaceuticals  Inc.,NASDAQ Global Market,stock
ATHA,Athira Pharma  Inc.,NASDAQ Global Select,stock
OLLI,Ollie's Bargain Outlet Holdings  Inc.,NASDAQ Global Market,stock
CRMT,America's Car-Mart  Inc.,NASDAQ Global Select,stock
TPIC,TPI Composites  Inc.,NASDAQ Global Market,stock
PLUS,ePlus inc.,NASDAQ Global Select,stock
CSCO,Cisco Systems  Inc.,NASDAQ Global Select,stock
LWAY,Lifeway Foods  Inc.,NASDAQ Global Market,stock
ZJYL,Jin Medical International Ltd.,NASDAQ Capital Market,stock
EXEL,Exelixis  Inc.,NASDAQ Global Select,stock
CVAC,CureVac N.V.,NASDAQ Global Market,stock
NEON,Neonode Inc.,NASDAQ Capital Market,stock
DOGZ,Dogness (International) Corporation,NASDAQ Global Market,stock
FNGR,FingerMotion  Inc.,NASDAQ Capital Market,stock
HTCR,HeartCore Enterprises  Inc.,NASDAQ Capital Market,stock
LEXX,Lexaria Bioscience Corp.,NASDAQ Capital Market,stock
CORT,Corcept Therapeutics Incorporated,NASDAQ Capital Market,stock
POAI,Predictive Oncology Inc.,NASDAQ Capital Market,stock
EYE,National Vision Holdings  Inc.,NASDAQ Global Select,stock
CARE,Carter Bankshares  Inc.,NASDAQ Global Select,stock
SAG,SAG Holdings Ltd,NASDAQ Global Select,stock
EXPI,eXp World Holdings  Inc.,NASDAQ Global Market,stock
APA,APA Corporation,NASDAQ Global Select,stock
RGNX,REGENXBIO Inc.,NASDAQ Global Select,stock
RUSHA,Rush Enterprises  Inc.,NASDAQ Global Select,stock
PLBY,PLBY Group  Inc.,NASDAQ Global Market,stock
OFLX,Omega Flex  Inc.,NASDAQ Global Market,stock
PEBK,Peoples Bancorp of North Carolina  Inc.,NASDAQ Global Market,stock
RDVT,Red Violet  Inc.,NASDAQ Capital Market,stock
LOVE,The Lovesac Company,NASDAQ Global Market,stock
BKR,Baker Hughes Company,NASDAQ Global Select,stock
ABP,Abpro Corporation,NASDAQ Global Market,stock
BSLK,Bolt Projects Holdings  Inc.,NASDAQ Global Market,stock
PRGS,Progress Software Corporation,NASDAQ Global Select,stock
PRPH,ProPhase Labs  Inc.,NASDAQ Capital Market,stock
QNTM,Quantum BioPharma Ltd,NASDAQ Global Market,stock
BDRX,Biodexa Pharmaceuticals Plc,NASDAQ Capital Market,stock
REG,Regency Centers Corporation,NASDAQ Global Select,stock
OCUL,Ocular Therapeutix  Inc.,NASDAQ Global Market,stock
ALGN,Align Technology  Inc.,NASDAQ Global Select,stock
DOMH,Dominari Holdings Inc.,NASDAQ Capital Market,stock
ACGLN,Arch Capital Group Ltd.,NASDAQ Global Select,stock
ATOS,Atossa Therapeutics  Inc.,NASDAQ Capital Market,stock
CLNE,Clean Energy Fuels Corp.,NASDAQ Global Select,stock
PAYO,Payoneer Global Inc.,NASDAQ Global Market,stock
APPS,Digital Turbine  Inc.,NASDAQ Capital Market,stock
INDI,indie Semiconductor  Inc.,NASDAQ Capital Market,stock
BIVI,BioVie Inc.,NASDAQ Capital Market,stock
CLWT,Euro Tech Holdings Company Limited,NASDAQ Capital Market,stock
AMWD,American Woodmark Corporation,NASDAQ Global Select,stock
PRQR,ProQR Therapeutics N.V.,NASDAQ Global Market,stock
RBCAA,Republic Bancorp  Inc.,NASDAQ Global Select,stock
STGW,Stagwell Inc.,NASDAQ Global Select,stock
XTIA,XTI Aerospace  Inc.,NASDAQ Capital Market,stock
BCBP,BCB Bancorp  Inc.,NASDAQ Global Market,stock
COKE,Coca-Cola Consolidated  Inc.,NASDAQ Global Select,stock
NIU,Niu Technologies,NASDAQ Global Market,stock
TG,Tredegar Corporation,New York Stock Exchange,stock
VRME,VerifyMe  Inc.,NASDAQ Capital Market,stock
CLAR,Clarus Corporation,NASDAQ Global Select,stock
DH,Definitive Healthcare Corp.,NASDAQ Global Select,stock
QSI,Quantum-Si incorporated,NASDAQ Global Market,stock
RNAC,Cartesian Therapeutics  Inc.,NASDAQ Global Market,stock
AOSL,Alpha and Omega Semiconductor Limited,NASDAQ Global Select,stock
ASND,Ascendis Pharma A/S,NASDAQ Global Select,stock
UBFO,United Security Bancshares,NASDAQ Global Select,stock
UHT,Universal Health Realty Income Trust,New York Stock Exchange,stock
CHSN,Chanson International Holding,NASDAQ Capital Market,stock
URGN,UroGen Pharma Ltd.,NASDAQ Global Market,stock
NFE,New Fortress Energy Inc.,NASDAQ Global Select,stock
XBIT,XBiotech Inc.,NASDAQ Global Select,stock
CORZ,Core Scientific  Inc.,NASDAQ Global Select,stock
VICR,Vicor Corporation,NASDAQ Global Select,stock
YYAI,Connexa Sports Technologies Inc.,NASDAQ Global Market,stock
NCTY,The9 Limited,NASDAQ Capital Market,stock
VRCA,Verrica Pharmaceuticals Inc.,NASDAQ Global Market,stock
HOLX,Hologic  Inc.,NASDAQ Global Select,stock
HBNC,Horizon Bancorp  Inc.,NASDAQ Global Select,stock
COCO,The Vita Coco Company  Inc.,NASDAQ Global Select,stock
XRX,Xerox Holdings Corporation,NASDAQ Global Select,stock
MAZE,Maze Therapeutics  Inc. Common Stock,NASDAQ Global Market,stock
SNY,Sanofi,NASDAQ Global Select,stock
API,Agora  Inc.,NASDAQ Global Select,stock
SPFI,South Plains Financial  Inc.,NASDAQ Global Select,stock
PBFS,Pioneer Bancorp  Inc.,NASDAQ Capital Market,stock
DSP,Viant Technology Inc.,NASDAQ Global Select,stock
SNCY,Sun Country Airlines Holdings  Inc.,NASDAQ Global Select,stock
CRBU,Caribou Biosciences  Inc.,NASDAQ Global Select,stock
EXPO,Exponent  Inc.,NASDAQ Global Select,stock
OTLK,Outlook Therapeutics  Inc.,NASDAQ Capital Market,stock
MITK,Mitek Systems  Inc.,NASDAQ Capital Market,stock
FOXF,Fox Factory Holding Corp.,NASDAQ Global Select,stock
NNOX,Nano-X Imaging Ltd.,NASDAQ Global Market,stock
FWRG,First Watch Restaurant Group  Inc.,NASDAQ Global Select,stock
ZION,Zions Bancorporation  National Association,NASDAQ Global Select,stock
JZXN,Jiuzi Holdings  Inc.,NASDAQ Capital Market,stock
NVVE,Nuvve Holding Corp.,NASDAQ Capital Market,stock
OMCL,Omnicell  Inc.,NASDAQ Global Select,stock
OVID,Ovid Therapeutics Inc.,NASDAQ Global Select,stock
LESL,Leslie's  Inc.,NASDAQ Global Select,stock
ALCO,Alico  Inc.,NASDAQ Global Select,stock
HUBG,Hub Group  Inc.,NASDAQ Global Select,stock
MLYS,Mineralys Therapeutics  Inc.,NASDAQ Global Select,stock
CASY,Casey's General Stores  Inc.,NASDAQ Global Select,stock
ACT,Enact Holdings  Inc.,NASDAQ Global Select,stock
INVE,Identiv  Inc.,NASDAQ Capital Market,stock
MDGL,Madrigal Pharmaceuticals  Inc.,NASDAQ Global Select,stock
PBM,Psyence Biomedical Ltd.,NASDAQ Capital Market,stock
PDFS,PDF Solutions  Inc.,NASDAQ Global Select,stock
STKL,SunOpta Inc.,NASDAQ Global Select,stock
AZTA,Azenta  Inc.,NASDAQ Global Select,stock
RUM,Rumble Inc.,NASDAQ Global Market,stock
NUVL,Nuvalent  Inc.,NASDAQ Global Select,stock
AQST,Aquestive Therapeutics  Inc.,NASDAQ Global Market,stock
SAGE,Sage Therapeutics  Inc.,NASDAQ Global Market,stock
MRSN,Mersana Therapeutics  Inc.,NASDAQ Global Select,stock
DLHC,DLH Holdings Corp.,NASDAQ Capital Market,stock
ATRA,Atara Biotherapeutics  Inc.,NASDAQ Global Select,stock
PHUN,Phunware  Inc.,NASDAQ Capital Market,stock
FITB,Fifth Third Bancorp,NASDAQ Global Select,stock
EVCM,EverCommerce Inc.,NASDAQ Global Select,stock
GLAD,Gladstone Capital Corporation,NASDAQ Global Select,stock
LAZR,Luminar Technologies  Inc.,NASDAQ Global Select,stock
LMB,Limbach Holdings  Inc.,NASDAQ Capital Market,stock
STRA,Strategic Education  Inc.,NASDAQ Global Select,stock
MLCO,Melco Resorts & Entertainment Limited,NASDAQ Global Select,stock
OFIX,Orthofix Medical Inc.,NASDAQ Global Select,stock
OLPX,Olaplex Holdings  Inc.,NASDAQ Global Select,stock
PTON,Peloton Interactive  Inc.,NASDAQ Global Select,stock
LQDA,Liquidia Corporation,NASDAQ Capital Market,stock
VFS,VinFast Auto Ltd.,NASDAQ Global Select,stock
CRUS,Cirrus Logic  Inc.,NASDAQ Global Select,stock
ANSS,ANSYS  Inc.,NASDAQ Global Select,stock
OPEN,Opendoor Technologies Inc.,NASDAQ Global Select,stock
CUE,Cue Biopharma  Inc.,NASDAQ Capital Market,stock
IBEX,IBEX Limited,NASDAQ Global Market,stock
SENEA,Seneca Foods Corporation,NASDAQ Global Select,stock
LENZ,LENZ Therapeutics  Inc.,NASDAQ Global Select,stock
PRLD,Prelude Therapeutics Incorporated,NASDAQ Global Select,stock
PRME,Prime Medicine  Inc.,NASDAQ Global Market,stock
BSRR,Sierra Bancorp,NASDAQ Global Select,stock
AVIR,Atea Pharmaceuticals  Inc.,NASDAQ Global Select,stock
CMCSA,Comcast Corporation,NASDAQ Global Select,stock
TELA,TELA Bio  Inc.,NASDAQ Global Market,stock
TNYA,Tenaya Therapeutics  Inc.,NASDAQ Global Select,stock
VINP,Vinci Partners Investments Ltd.,NASDAQ Global Select,stock
TRN,Trinity Industries  Inc.,New York Stock Exchange,stock
TCMD,Tactile Systems Technology  Inc.,NASDAQ Global Market,stock
TIGR,UP Fintech Holding Limited,NASDAQ Global Select,stock
BLIN,Bridgeline Digital  Inc.,NASDAQ Capital Market,stock
RLAY,Relay Therapeutics  Inc.,NASDAQ Global Market,stock
RMCF,Rocky Mountain Chocolate Factory  Inc.,NASDAQ Global Market,stock
MGNI,Magnite  Inc.,NASDAQ Global Select,stock
ZSPC,zSpace  Inc. Common stock,NASDAQ Global Select,stock
FSV,FirstService Corporation,NASDAQ Global Select,stock
DNTH,Dianthus Therapeutics  Inc.,NASDAQ Capital Market,stock
BLMN,Bloomin' Brands  Inc.,NASDAQ Global Select,stock
VECO,Veeco Instruments Inc.,NASDAQ Global Select,stock
LSEA,Landsea Homes Corporation,NASDAQ Capital Market,stock
HOWL,Werewolf Therapeutics  Inc.,NASDAQ Global Select,stock
RELI,Reliance Global Group  Inc.,NASDAQ Capital Market,stock
RAPT,RAPT Therapeutics  Inc.,NASDAQ Global Market,stock
SBET,SharpLink Gaming Ltd.,NASDAQ Capital Market,stock
SDA,SunCar Technology Group Inc.,NASDAQ Capital Market,stock
MRVL,Marvell Technology  Inc.,NASDAQ Global Select,stock
PKBK,Parke Bancorp  Inc.,NASDAQ Capital Market,stock
SEAT,Vivid Seats Inc.,NASDAQ Global Select,stock
ESOA,Energy Services of America Corporation,NASDAQ Capital Market,stock
IRMD,IRadimed Corporation,NASDAQ Capital Market,stock
ATXS,Astria Therapeutics  Inc.,NASDAQ Global Market,stock
GAIA,Gaia  Inc.,NASDAQ Global Market,stock
TTAN,ServiceTitan  Inc.,NASDAQ Global Select,stock
AMRN,Amarin Corporation plc,NASDAQ Global Market,stock
LTRN,Lantern Pharma Inc.,NASDAQ Capital Market,stock
RNTX,Rein Therapeutics Inc.,NASDAQ Global Market,stock
PUBM,PubMatic  Inc.,NASDAQ Global Market,stock
REAX,The Real Brokerage Inc.,NASDAQ Capital Market,stock
TLRY,Tilray Brands  Inc.,NASDAQ Global Select,stock
ENTG,Entegris  Inc.,NASDAQ Global Select,stock
GALT,Galectin Therapeutics Inc.,NASDAQ Capital Market,stock
EXTR,Extreme Networks  Inc.,NASDAQ Global Select,stock
NODK,NI Holdings  Inc.,NASDAQ Capital Market,stock
KRT,Karat Packaging Inc.,NASDAQ Global Select,stock
TARS,Tarsus Pharmaceuticals  Inc.,NASDAQ Global Select,stock
XENE,Xenon Pharmaceuticals Inc.,NASDAQ Global Market,stock
POLA,Polar Power  Inc.,NASDAQ Capital Market,stock
TFIN,Triumph Financial  Inc.,NASDAQ Global Select,stock
FOF,Cohen & Steers Closed-End Opportunity Fund  Inc.,New York Stock Exchange,stock
HELE,Helen of Troy Limited,NASDAQ Global Select,stock
PFG,Principal Financial Group  Inc.,NASDAQ Global Select,stock
BELFA,Bel Fuse Inc.,NASDAQ Global Select,stock
RBB,RBB Bancorp,NASDAQ Global Select,stock
BYND,Beyond Meat  Inc.,NASDAQ Global Select,stock
RMNI,Rimini Street  Inc.,NASDAQ Global Market,stock
PPIH,Perma-Pipe International Holdings  Inc.,NASDAQ Global Market,stock
SDST,Stardust Power Inc.,NASDAQ Global Market,stock
VERA,Vera Therapeutics  Inc.,NASDAQ Global Market,stock
SION,Sionna Therapeutics  Inc.,NASDAQ Global Market,stock
UTL,Unitil Corporation,New York Stock Exchange,stock
IGIC,International General Insurance Holdings Ltd.,NASDAQ Capital Market,stock
NYMT,New York Mortgage Trust  Inc.,NASDAQ Global Select,stock
NNNN,Anbio Biotechnology Class A Ordinary Shares,NASDAQ Global Select,stock
TWG,Top Wealth Group Holding Limited Ordinary Shares,NASDAQ Global Market,stock
GRAL,GRAIL  Inc.,NASDAQ Global Market,stock
SYM,Symbotic Inc.,NASDAQ Global Market,stock
OKUR,OnKure Therapeutics  Inc.,NASDAQ Global Market,stock
VIRC,Virco Mfg. Corporation,NASDAQ Global Market,stock
PPSI,Pioneer Power Solutions  Inc.,NASDAQ Capital Market,stock
PPTA,Perpetua Resources Corp.,NASDAQ Capital Market,stock
CDIO,Cardio Diagnostics Holdings  Inc.,NASDAQ Capital Market,stock
HIVE,HIVE Blockchain Technologies Ltd.,NASDAQ Capital Market,stock
PACB,Pacific Biosciences of California  Inc.,NASDAQ Global Select,stock
LKQ,LKQ Corporation,NASDAQ Global Select,stock
PVBC,Provident Bancorp  Inc.,NASDAQ Capital Market,stock
DDI,DoubleDown Interactive Co.  Ltd.,NASDAQ Global Select,stock
GOGO,Gogo Inc.,NASDAQ Global Select,stock
FCEL,FuelCell Energy  Inc.,NASDAQ Global Market,stock
INMB,INmune Bio  Inc.,NASDAQ Capital Market,stock
KMPR,Kemper Corporation,New York Stock Exchange,stock
CENT,Central Garden & Pet Company,NASDAQ Global Select,stock
HQY,HealthEquity  Inc.,NASDAQ Global Select,stock
NUWE,Nuwellis  Inc.,NASDAQ Capital Market,stock
SU,Suncor Energy Inc.,New York Stock Exchange,stock
ONVO,Organovo Holdings  Inc.,NASDAQ Capital Market,stock
TYRA,Tyra Biosciences  Inc.,NASDAQ Global Select,stock
WABC,Westamerica Bancorporation,NASDAQ Global Select,stock
USCB,USCB Financial Holdings  Inc.,NASDAQ Global Market,stock
CBNK,Capital Bancorp  Inc.,NASDAQ Global Select,stock
TRUE,TrueCar  Inc.,NASDAQ Global Select,stock
PGY,Pagaya Technologies Ltd.,NASDAQ Capital Market,stock
FCFS,FirstCash Holdings  Inc,NASDAQ Global Select,stock
ACRV,Acrivon Therapeutics  Inc. Common Stock,NASDAQ,stock
DFLI,Dragonfly Energy Holdings Corp.,NASDAQ Global Market,stock
RTC,Baijiayun Group Ltd,NASDAQ Global Market,stock
ARQT,Arcutis Biotherapeutics  Inc.,NASDAQ Global Select,stock
CINF,Cincinnati Financial Corporation,NASDAQ Global Select,stock
TBPH,Theravance Biopharma  Inc.,NASDAQ Global Market,stock
TBRG,TruBridge  Inc.,NASDAQ Global Select,stock
KBR,KBR  Inc.,New York Stock Exchange,stock
UGRO,urban-gro  Inc.,NASDAQ Capital Market,stock
NXTT,Next Technology Holding Inc.,NASDAQ Global Market,stock
GILD,Gilead Sciences  Inc.,NASDAQ Global Select,stock
CSBR,Champions Oncology  Inc.,NASDAQ Capital Market,stock
AXSM,Axsome Therapeutics  Inc.,NASDAQ Global Market,stock
RUN,Sunrun Inc.,NASDAQ Global Select,stock
TXMD,TherapeuticsMD  Inc.,NASDAQ Global Select,stock
MKTX,MarketAxess Holdings Inc.,NASDAQ Global Select,stock
AEHL,Antelope Enterprise Holdings Limited,NASDAQ Capital Market,stock
ARCB,ArcBest Corporation,NASDAQ Global Select,stock
NRIM,Northrim BanCorp  Inc.,NASDAQ Global Select,stock
NXL,Nexalin Technology  Inc.,NASDAQ Capital Market,stock
IPAR,Inter Parfums  Inc.,NASDAQ Global Select,stock
LFWD,ReWalk Robotics Ltd.,NASDAQ Capital Market,stock
NSIT,Insight Enterprises  Inc.,NASDAQ Global Select,stock
SGML,Sigma Lithium Corporation,NASDAQ Capital Market,stock
SIRI,Sirius XM Holdings Inc.,NASDAQ Global Select,stock
