symbol,name,exchange,type
HPE,Hewlett Packard Enterprise Company,New York Stock Exchange,stock
POOL,Pool Corporation,NASDAQ Global Select,stock
MDWD,MediWound Ltd.,NASDAQ Global Market,stock
GTI,Graphjet Technology Sdn. Bhd.,NASDAQ Global Market,stock
IX,ORIX Corporation,New York Stock Exchange,stock
PATH,UiPath Inc.,New York Stock Exchange,stock
VAL,Valaris Limited,New York Stock Exchange,stock
VRE,Veris Residential  Inc.,New York Stock Exchange,stock
DHR,Danaher Corporation,New York Stock Exchange,stock
CFG,Citizens Financial Group  Inc.,New York Stock Exchange,stock
STWD,Starwood Property Trust  Inc.,New York Stock Exchange,stock
EVH,Evolent Health  Inc.,New York Stock Exchange,stock
GH,Guardant Health  Inc.,NASDAQ Global Select,stock
GCT,GigaCloud Technology Inc.,NASDAQ Global Market,stock
RYAN,Ryan Specialty Holdings  Inc.,New York Stock Exchange,stock
LLYVK,Liberty Live Group,NASDAQ Global Select,stock
NBHC,National Bank Holdings Corporation,New York Stock Exchange,stock
NVRI,Enviri Corporation,New York Stock Exchange,stock
NVT,nVent Electric plc,New York Stock Exchange,stock
IBM,International Business Machines Corporation,New York Stock Exchange,stock
IRM,Iron Mountain Incorporated,New York Stock Exchange,stock
JHG,Janus Henderson Group plc,New York Stock Exchange,stock
GRND,Grindr Inc.,New York Stock Exchange,stock
HAFC,Hanmi Financial Corporation,NASDAQ Global Select,stock
NRGV,Energy Vault Holdings  Inc.,New York Stock Exchange,stock
LOW,Lowe's Companies  Inc.,New York Stock Exchange,stock
ENO,Entergy Utility Group  Inc. 1ST MTG BD 66,New York Stock Exchange,stock
KD,Kyndryl Holdings  Inc.,New York Stock Exchange,stock
MTW,The Manitowoc Company  Inc.,New York Stock Exchange,stock
WMB,The Williams Companies  Inc.,New York Stock Exchange,stock
CTLP,Cantaloupe  Inc.,NASDAQ Global Select,stock
JKHY,Jack Henry & Associates  Inc.,NASDAQ Global Select,stock
MPB,Mid Penn Bancorp  Inc.,NASDAQ Global Market,stock
CR,Crane Company,New York Stock Exchange,stock
DSGR,Distribution Solutions Group  Inc.,NASDAQ Global Select,stock
